# Black Desert Online — AP/DP Bracket Definitions
# Verified: 2026-09-10
# Pipe-delimited UTF-8.
#
# MONSTER AP SCALING:
# sheet AP 310..400 => 8 * (sheet_ap - 309)
# sheet AP >=401    => 728 + 16 * (sheet_ap - 400)
#
# SOURCES:
# https://www.blackdesertfoundry.com/ap-and-dp-brackets-guide/
# https://www.blackdesertfoundry.com/global-lab-updates-7th-august-2026/
#
record_type|min_sheet|max_sheet|bonus_value|unit|formula|notes
AP_BRACKET|100|139|5|AP||Displayed AP bracket bonus
AP_BRACKET|140|169|10|AP||Displayed AP bracket bonus
AP_BRACKET|170|183|15|AP||Displayed AP bracket bonus
AP_BRACKET|184|208|20|AP||Displayed AP bracket bonus
AP_BRACKET|209|234|30|AP||Displayed AP bracket bonus
AP_BRACKET|235|244|40|AP||Displayed AP bracket bonus
AP_BRACKET|245|248|48|AP||Displayed AP bracket bonus
AP_BRACKET|249|252|57|AP||Displayed AP bracket bonus
AP_BRACKET|253|256|69|AP||Displayed AP bracket bonus
AP_BRACKET|257|260|83|AP||Displayed AP bracket bonus
AP_BRACKET|261|264|101|AP||Displayed AP bracket bonus
AP_BRACKET|265|268|122|AP||Displayed AP bracket bonus
AP_BRACKET|269|272|137|AP||Displayed AP bracket bonus
AP_BRACKET|273|276|142|AP||Displayed AP bracket bonus
AP_BRACKET|277|280|148|AP||Displayed AP bracket bonus
AP_BRACKET|281|284|154|AP||Displayed AP bracket bonus
AP_BRACKET|285|288|160|AP||Displayed AP bracket bonus
AP_BRACKET|289|292|167|AP||Displayed AP bracket bonus
AP_BRACKET|293|296|174|AP||Displayed AP bracket bonus
AP_BRACKET|297|300|181|AP||Displayed AP bracket bonus
AP_BRACKET|301|304|188|AP||Displayed AP bracket bonus
AP_BRACKET|305|308|196|AP||Displayed AP bracket bonus
AP_BRACKET|309|315|200|AP||Displayed AP bracket bonus
AP_BRACKET|316|320|203|AP||Displayed AP bracket bonus
AP_BRACKET|321|327|205|AP||Displayed AP bracket bonus
AP_BRACKET|328|331|208|AP||Displayed AP bracket bonus
AP_BRACKET|332|336|211|AP||Displayed AP bracket bonus
AP_BRACKET|337|341|214|AP||Displayed AP bracket bonus
AP_BRACKET|342|346|217|AP||Displayed AP bracket bonus
AP_BRACKET|347|351|220|AP||Displayed AP bracket bonus
AP_BRACKET|352|357|223|AP||Displayed AP bracket bonus
AP_BRACKET|358|363|225|AP||Displayed AP bracket bonus
AP_BRACKET|364|368|227|AP||Displayed AP bracket bonus
AP_BRACKET|369|374|230|AP||Displayed AP bracket bonus
AP_BRACKET|375|380|233|AP||Displayed AP bracket bonus
AP_BRACKET|381|385|236|AP||Displayed AP bracket bonus
AP_BRACKET|386|391|239|AP||Displayed AP bracket bonus
AP_BRACKET|392|396|242|AP||Displayed AP bracket bonus
AP_BRACKET|397|398|245|AP||Displayed AP bracket bonus
AP_BRACKET|399|400|247|AP||Displayed AP bracket bonus
AP_BRACKET|401|402|249|AP||Displayed AP bracket bonus
AP_BRACKET|403|404|251|AP||Displayed AP bracket bonus
AP_BRACKET|405|406|253|AP||Displayed AP bracket bonus
AP_BRACKET|407|408|255|AP||Displayed AP bracket bonus
AP_BRACKET|409|410|257|AP||Displayed AP bracket bonus
AP_BRACKET|411|412|259|AP||Displayed AP bracket bonus
AP_BRACKET|413|414|261|AP||Displayed AP bracket bonus
AP_BRACKET|415|416|263|AP||Displayed AP bracket bonus
AP_BRACKET|417|418|265|AP||Displayed AP bracket bonus
AP_BRACKET|419|420|267|AP||Displayed AP bracket bonus
AP_BRACKET|421|422|269|AP||Displayed AP bracket bonus
AP_BRACKET|423|424|271|AP||Displayed AP bracket bonus
AP_BRACKET|425|426|273|AP||Displayed AP bracket bonus
AP_BRACKET|427|428|275|AP||Displayed AP bracket bonus
AP_BRACKET|429|430|277|AP||Displayed AP bracket bonus
AP_BRACKET|431|432|279|AP||Displayed AP bracket bonus
AP_BRACKET|433|434|281|AP||Displayed AP bracket bonus
AP_BRACKET|435|436|283|AP||Displayed AP bracket bonus
AP_BRACKET|437|438|285|AP||Displayed AP bracket bonus
AP_BRACKET|439|440|287|AP||Displayed AP bracket bonus
AP_BRACKET|441|442|289|AP||Displayed AP bracket bonus
AP_BRACKET|443|444|291|AP||Displayed AP bracket bonus
AP_BRACKET|445|446|293|AP||Displayed AP bracket bonus
AP_BRACKET|447|448|295|AP||Displayed AP bracket bonus
AP_BRACKET|449||297|AP||Displayed AP bracket bonus
DP_DR_RATE_BRACKET|203|210|1|percent_DR||Bonus Damage Reduction Rate
DP_DR_RATE_BRACKET|211|217|2|percent_DR||Bonus Damage Reduction Rate
DP_DR_RATE_BRACKET|218|225|3|percent_DR||Bonus Damage Reduction Rate
DP_DR_RATE_BRACKET|226|232|4|percent_DR||Bonus Damage Reduction Rate
DP_DR_RATE_BRACKET|233|240|5|percent_DR||Bonus Damage Reduction Rate
DP_DR_RATE_BRACKET|241|247|6|percent_DR||Bonus Damage Reduction Rate
DP_DR_RATE_BRACKET|248|255|7|percent_DR||Bonus Damage Reduction Rate
DP_DR_RATE_BRACKET|256|262|8|percent_DR||Bonus Damage Reduction Rate
