# Black Desert Online PvE Gear Stats Database
# Verified for current guides/patch state on 2026-09-08.
# Format: pipe-delimited UTF-8 text. First non-comment line is the column header.
#
# IMPORTANT FIELD DEFINITIONS
# ap_min/ap_max      = AP range printed on weapon item.
# sheet_ap           = single displayed AP value on accessories/reform bonuses.
# sheet_dp           = displayed DP.
# monster_ap         = Extra AP Against Monsters; this is NOT sheet AP.
# monster_dr         = Monster Damage Reduction; this is NOT sheet DP.
# evasion / damage_reduction = visible component.
# hidden_evasion / hidden_damage_reduction = value shown in parentheses by current item stat tables.
# delta_*            = increase from the previous enhancement of the SAME item/variant.
# blank               = stat not supplied/not applicable, NOT zero.
#
# SCOPE
# This file is the enhancement data for the current PvE progression systems:
# Sovereign weapons, Slumbering Origin armors, Edana armors,
# Kharazad/Ekleta/Apeiron accessories, and PvE artifacts.
# Legacy/transitional full Tuvala and Blackstar +0..PEN ladders are intentionally
# not mixed into this endgame table because the modern 2026 catch-up path skips
# most of those enhancement steps. PEN Blackstar is a Sovereign crafting gateway.
#
# SET EFFECT NOTE
# Slumbering Origin / Edana 'Ancient' set effects are account/equipment-set effects,
# not per-piece AP/DP and therefore are not added to individual rows.
# Relevant set effects include 2-set Monster DR +10 and 3-set Extra Monster AP +7.
#
# SOURCES
# SOV_BDF_2026       = https://www.blackdesertfoundry.com/sovereign-weapons-guide/
# PA_PATCH_2025_07_10= https://www.naeu.playblackdesert.com/News/Notice/Detail?groupContentNo=8804
# FG_BDF_2026        = https://www.blackdesertfoundry.com/fallen-god-armor-guide/
# LAB_BDF_2026       = https://www.blackdesertfoundry.com/labreska-helmet-guide/
# DAHN_BDF_2026      = https://www.blackdesertfoundry.com/dahns-gloves/
# ATOR_BDF_2026      = https://www.blackdesertfoundry.com/ators-shoes-guide/
# EDANA_BDF_2026     = https://www.blackdesertfoundry.com/edanas-defense-gear-guide/
# KHAR_BDF_2026      = https://www.blackdesertfoundry.com/kharazad-accessories-guide/
# EKLETA_GARMOTH_2026= https://garmoth.com/guides/post/ekleta-apeiron-accessories
# APEIRON_BDF_2026   = https://www.blackdesertfoundry.com/ekleta-apeiron-accessories-guide/
# ARTIFACT_BDF_2026  = https://www.blackdesertfoundry.com/artifacts-and-lightstones-guide/
#
category|slot|item|variant|enhancement|ap_min|ap_max|sheet_ap|sheet_dp|accuracy|monster_ap|monster_dr|evasion|hidden_evasion|damage_reduction|hidden_damage_reduction|max_hp|max_stamina|weight_lt|delta_ap_min|delta_ap_max|delta_sheet_ap|delta_sheet_dp|source_id|notes
weapon|main_hand|Sovereign Main Weapon|standard|+0|133|140|||212|48|||||||||||||SOV_BDF_2026|AP shown as item AP range. Garmoth Heart reform is stored separately below.
weapon|main_hand|Sovereign Main Weapon|standard|PRI (I)|134|141|||213|49|||||||||1|1|||SOV_BDF_2026|AP shown as item AP range. Garmoth Heart reform is stored separately below.
weapon|main_hand|Sovereign Main Weapon|standard|DUO (II)|135|142|||214|50|||||||||1|1|||SOV_BDF_2026|AP shown as item AP range. Garmoth Heart reform is stored separately below.
weapon|main_hand|Sovereign Main Weapon|standard|TRI (III)|136|143|||215|51|||||||||1|1|||SOV_BDF_2026|AP shown as item AP range. Garmoth Heart reform is stored separately below.
weapon|main_hand|Sovereign Main Weapon|standard|TET (IV)|138|145|||217|52|||||||||2|2|||SOV_BDF_2026|AP shown as item AP range. Garmoth Heart reform is stored separately below.
weapon|main_hand|Sovereign Main Weapon|standard|PEN (V)|140|147|||218|53|||||||||2|2|||SOV_BDF_2026|AP shown as item AP range. Garmoth Heart reform is stored separately below.
weapon|main_hand|Sovereign Main Weapon|standard|HEX (VI)|142|149|||219|54|||||||||2|2|||SOV_BDF_2026|AP shown as item AP range. Garmoth Heart reform is stored separately below.
weapon|main_hand|Sovereign Main Weapon|standard|SEP (VII)|144|151|||220|55|||||||||2|2|||SOV_BDF_2026|AP shown as item AP range. Garmoth Heart reform is stored separately below.
weapon|main_hand|Sovereign Main Weapon|standard|OCT (VIII)|146|154|||222|56|||||||||2|3|||SOV_BDF_2026|AP shown as item AP range. Garmoth Heart reform is stored separately below.
weapon|main_hand|Sovereign Main Weapon|standard|NOV (IX)|148|156|||223|57|||||||||2|2|||SOV_BDF_2026|AP shown as item AP range. Garmoth Heart reform is stored separately below.
weapon|main_hand|Sovereign Main Weapon|standard|DEC (X)|150|158|||224|58|||||||||2|2|||SOV_BDF_2026|AP shown as item AP range. Garmoth Heart reform is stored separately below.
weapon|awakening|Sovereign Awakening Weapon|standard|+0|133|140|||12|25|||||||||||||SOV_BDF_2026|AP shown as item AP range. Garmoth Heart reform is stored separately below.
weapon|awakening|Sovereign Awakening Weapon|standard|PRI (I)|134|141|||13|26|||||||||1|1|||SOV_BDF_2026|AP shown as item AP range. Garmoth Heart reform is stored separately below.
weapon|awakening|Sovereign Awakening Weapon|standard|DUO (II)|135|142|||14|27|||||||||1|1|||SOV_BDF_2026|AP shown as item AP range. Garmoth Heart reform is stored separately below.
weapon|awakening|Sovereign Awakening Weapon|standard|TRI (III)|136|143|||15|28|||||||||1|1|||SOV_BDF_2026|AP shown as item AP range. Garmoth Heart reform is stored separately below.
weapon|awakening|Sovereign Awakening Weapon|standard|TET (IV)|138|145|||17|29|||||||||2|2|||SOV_BDF_2026|AP shown as item AP range. Garmoth Heart reform is stored separately below.
